name,email
Ivan Ivanov,ivan1@mail.com
Petr Petrov,petr2@mail.com
Anna Smirnova,anna3@mail.com
Olga Sidorova,olga4@mail.com
Dmitry Kozlov,dima5@mail.com
Sergey Volkov,sergey6@mail.com
Maria Orlova,maria7@mail.com
Alexey Morozov,alex8@mail.com
Elena Fedorova,elena9@mail.com
Nikita Pavlov,nikita10@mail.com
Vera Lebedeva,vera11@mail.com
Igor Nikolaev,igor12@mail.com
Tatiana Egorova,tanya13@mail.com
Roman Belov,roman14@mail.com
Irina Kiseleva,irina15@mail.com
Maxim Vinogradov,max16@mail.com
Svetlana Bogdanova,sveta17@mail.com
Oleg Makarov,oleg18@mail.com
Yulia Sorokina,yulia19@mail.com
Denis Popov,denis20@mail.com
